54,Tue Feb 8 2022,8:00p,,Box Score,,Houston Rockets,W,,110,97,22,32,W 4,
55,Thu Feb 10 2022,7:30p,,Box Score,,Miami Heat,L,,97,112,22,33,L 1,
56,Sat Feb 12 2022,7:00p,,Box Score,,San Antonio Spurs,L,,114,124,22,34,L 2,
57,Mon Feb 14 2022,8:00p,,Box Score,,Toronto Raptors,W,,120,90,23,34,W 1,
58,Tue Feb 15 2022,8:00p,,Box Score,,Memphis Grizzlies,L,,109,121,23,35,L 1,
59,Thu Feb 17 2022,8:00p,,Box Score,,Dallas Mavericks,L,,118,125,23,36,L 2,
60,Fri Feb 25 2022,9:00p,,Box Score,@,Phoenix Suns,W,,117,102,24,36,W 1,
61,Sun Feb 27 2022,10:00p,,Box Score,@,Los Angeles Lakers,W,,123,95,25,36,W 2,
62,Wed Mar 2 2022,8:00p,,Box Score,,Sacramento Kings,W,,125,95,26,36,W 3,
63,Fri Mar 4 2022,8:00p,,Box Score,,Utah Jazz,W,,124,90,27,36,W 4,
64,Sun Mar 6 2022,8:00p,,Box Score,@,Denver Nuggets,L,OT,130,138,27,37,L 1,
65,Tue Mar 8 2022,7:30p,,Box Score,@,Memphis Grizzlies,L,,111,132,27,38,L 2,
66,Wed Mar 9 2022,8:00p,,Box Score,,Orlando Magic,L,,102,108,27,39,L 3,
67,Fri Mar 11 2022,8:00p,,Box Score,,Charlotte Hornets,L,,120,142,27,40,L 4,
68,Sun Mar 13 2022,7:00p,,Box Score,,Houston Rockets,W,,130,105,28,40,W 1,
69,Tue Mar 15 2022,8:00p,,Box Score,,Phoenix Suns,L,,115,131,28,41,L 1,
