54,Wed Feb 9 2022,8:00p,,Box Score,,Toronto Raptors,L,,98,117,17,37,L 3,
55,Fri Feb 11 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,87,100,17,38,L 4,
56,Sat Feb 12 2022,8:00p,,Box Score,@,Chicago Bulls,L,,101,106,17,39,L 5,
57,Mon Feb 14 2022,7:30p,,Box Score,@,New York Knicks,W,OT,127,123,18,39,W 1,
58,Wed Feb 16 2022,8:00p,,Box Score,,San Antonio Spurs,L,,106,114,18,40,L 1,
59,Thu Feb 24 2022,8:00p,,Box Score,,Phoenix Suns,L,,104,124,18,41,L 2,
60,Fri Feb 25 2022,7:00p,,Box Score,@,Indiana Pacers,W,OT,129,125,19,41,W 1,
61,Mon Feb 28 2022,8:00p,,Box Score,,Sacramento Kings,L,,110,131,19,42,L 1,
62,Wed Mar 2 2022,9:00p,,Box Score,@,Denver Nuggets,W,,119,107,20,42,W 1,
63,Fri Mar 4 2022,8:00p,,Box Score,,Minnesota Timberwolves,L,,101,138,20,43,L 1,
64,Sun Mar 6 2022,7:00p,,Box Score,,Utah Jazz,L,,103,116,20,44,L 2,
65,Tue Mar 8 2022,8:00p,,Box Score,,Milwaukee Bucks,L,,115,142,20,45,L 3,
66,Wed Mar 9 2022,8:00p,,Box Score,@,Minnesota Timberwolves,L,,102,132,20,46,L 4,
67,Sun Mar 13 2022,7:00p,,Box Score,,Memphis Grizzlies,L,,118,125,20,47,L 5,
68,Mon Mar 14 2022,8:00p,,Box Score,,Charlotte Hornets,L,,116,134,20,48,L 6,
69,Wed Mar 16 2022,8:30p,,Box Score,@,San Antonio Spurs,L,,120,122,20,49,L 7,
